,State,Population
394,CA,88665
395,IL,88302
396,CA,88083
397,CA,87955
398,CA,87583
399,NC,87521
400,NM,87505
401,UT,87321
402,CA,87306
403,MI,87294
404,WA,87256
405,FL,86859
406,MN,86697
407,CT,86518
408,MN,86478
409,FL,86395
410,CA,86333
411,CA,85858
412,OR,85824
413,IA,85797
414,TX,85778
415,MI,85420
416,IL,85268
417,CA,85239
418,LA,84872
419,FL,84678
420,CA,84605
421,CA,84292
422,AR,84161
423,CA,84034
424,MI,83986
425,TX,83980
426,WA,83921
427,TX,83701
428,CA,83498
429,TN,83454
430,RI,82934
431,FL,82890
432,CA,82868
433,RI,82823
434,CA,82496
435,FL,82485
436,GA,82453
437,CA,82376
438,TX,82073
439,UT,81773
440,TX,81638
441,MI,81252
442,OH,81146
443,MA,81045
444,MN,81026
445,FL,80737
446,CA,80454
447,NC,80411
448,FL,80380
449,GA,80308
450,CA,80276
451,CA,80273
452,CA,79871
453,NY,79726
454,TX,79715
455,MI,79408
456,CA,79332
457,CA,79246
458,FL,79226
459,CA,79190
460,IN,79168
461,CA,79040
462,VA,79009
463,IL,78723
464,CA,78700
465,IL,78680
466,AR,78576
467,CA,78411
468,CA,78280
469,MD,78171
470,IL,78110
471,IN,77879
472,WI,77816
473,IL,77676
474,TX,77595
475,UT,77487
476,WA,77108
477,AZ,76831
478,MI,76618
479,MI,76501
480,CA,76416
481,CO,76378
482,PA,76328
483,MI,76300
484,AL,76143
485,TX,75956
486,UT,75907
487,FL,75874
488,CA,75791
489,PA,75781
490,WI,75644
491,RI,75604
492,MN,75102
493,IA,74828
494,FL,74793
495,SD,74703
496,NJ,74553
497,FL,74482
498,SC,74372
499,TX,74259
500,CT,74135
501,CO,74112
502,IL,73922
503,NY,73893
504,ND,73622
505,NJ,73620
506,MI,73598
507,MT,73489
508,WA,73256
509,CA,73168
510,CO,73158
511,MS,72926
512,CA,72740
513,NC,72723
514,FL,72647
515,TX,72602
516,CA,72589
517,MO,72473
518,MA,72362
519,KY,72294
520,CA,72176
521,FL,71897
522,TX,71829
523,NJ,71791
524,NJ,71686
525,CA,71601
526,CA,71576
527,WI,71158
528,AL,71072
529,TN,71046
530,DE,70898
531,OH,70872
532,IN,70783
533,CA,70741
534,SC,70720
535,WA,70714
536,MI,70565
537,NJ,70537
538,IL,70522
539,MO,70493
540,CA,70265
541,MN,70253
542,MN,70222
543,CA,70143
544,CA,70127
545,CA,70117
546,TX,69917
547,AR,69908
548,CA,69757
549,MD,69657
550,GA,69647
551,NJ,69612
552,IN,69604
553,MN,69490
554,WI,69421
555,IN,69093
556,MN,68881
557,CA,68875
558,MN,68855
559,IA,68723
560,NJ,68589
561,CA,68572
562,ME,68408
563,NJ,68364
564,CA,68336
565,TN,68205
566,FL,68107
567,IL,67908
568,IA,67887
569,IL,67824
570,MA,67787
571,TX,67553
572,WA,67455
