,State,Population
4708,ME,6717
4709,MA,6716
4710,WA,6715
4711,IN,6712
4712,IL,6709
4713,AL,6708
4714,IL,6705
4715,GA,6703
4716,VT,6701
4717,CA,6700
4718,OH,6698
4719,LA,6695
4720,NJ,6694
4721,LA,6692
4722,MN,6687
4723,PA,6685
4724,NH,6682
4725,CA,6673
4726,SC,6671
4727,MS,6666
4728,KY,6662
4729,NH,6662
4730,CT,6658
4731,VA,6657
4732,PA,6657
4733,NY,6656
4734,MN,6656
4735,OH,6656
4736,IN,6655
4737,NY,6652
4738,NY,6652
4739,OK,6651
4740,NY,6645
4741,MO,6643
4742,NC,6643
4743,VA,6641
4744,MO,6634
4745,NY,6630
4746,MN,6624
4747,WV,6624
4748,OH,6614
4749,FL,6609
4750,PA,6609
4751,IN,6608
4752,NY,6606
4753,IL,6605
4754,KS,6603
4755,NJ,6598
4756,VA,6596
4757,MA,6594
4758,FL,6584
4759,OH,6582
4760,ND,6575
4761,TX,6569
4762,GA,6569
4763,MA,6569
4764,WA,6568
4765,NC,6564
4766,WA,6560
4767,CO,6560
4768,FL,6560
4769,OH,6559
4770,AR,6559
4771,KY,6559
4772,GA,6553
4773,NH,6548
4774,NE,6547
4775,NE,6544
4776,PA,6543
4777,IN,6542
4778,IL,6539
4779,TX,6538
4780,TX,6535
4781,WV,6534
4782,WA,6531
4783,NC,6529
4784,RI,6528
4785,MI,6520
4786,PA,6518
4787,CA,6515
4788,WI,6513
4789,PA,6512
4790,MA,6508
4791,NJ,6507
4792,NE,6494
4793,IN,6493
4794,NJ,6492
4795,CO,6487
4796,MN,6484
4797,ME,6484
4798,OH,6481
4799,NH,6476
4800,NM,6474
4801,ME,6469
4802,ME,6461
4803,TN,6461
4804,KS,6460
4805,RI,6460
4806,TX,6460
4807,NJ,6460
4808,AL,6457
4809,MO,6449
4810,NJ,6449
4811,SC,6448
4812,UT,6443
4813,CO,6442
4814,TX,6436
4815,CO,6434
4816,LA,6433
4817,TX,6431
4818,PA,6429
4819,PA,6427
4820,IL,6420
4821,WY,6419
4822,NH,6418
4823,NH,6416
4824,CA,6411
4825,NE,6410
4826,KS,6408
4827,MO,6406
4828,KY,6404
4829,MD,6402
4830,OH,6393
4831,MI,6388
4832,TX,6387
4833,WY,6386
4834,SC,6384
4835,OH,6384
4836,FL,6382
4837,FL,6374
4838,LA,6374
4839,NJ,6372
4840,NJ,6372
4841,IN,6371
4842,NJ,6367
4843,IN,6362
4844,NC,6358
4845,MD,6356
4846,IL,6355
4847,TX,6354
4848,MT,6346
4849,MO,6344
4850,TN,6343
4851,NY,6334
4852,KY,6333
4853,TX,6332
4854,MA,6330
4855,AK,6325
4856,IN,6320
4857,NC,6317
4858,MA,6315
4859,MN,6312
4860,TN,6312
4861,WI,6309
4862,TN,6308
4863,GA,6307
4864,MA,6307
4865,LA,6303
4866,FL,6302
4867,TN,6302
4868,OK,6302
4869,TN,6299
4870,NH,6299
4871,NJ,6299
4872,OH,6299
4873,CO,6297
4874,OH,6294
4875,PA,6294
4876,CA,6293
4877,GA,6292
4878,KS,6286
4879,LA,6286
4880,NJ,6285
4881,OR,6282
4882,WI,6282
4883,OR,6277
4884,MI,6276
4885,KY,6274
4886,KY,6270
4887,IN,6270
4888,NJ,6269
4889,LA,6269
4890,TX,6267
4891,IA,6267
4892,MI,6263
4893,PA,6263
4894,PA,6261
4895,OH,6260
4896,FL,6260
4897,MI,6259
4898,GA,6253
4899,OH,6252
4900,OK,6245
4901,FL,6245
4902,MD,6241
4903,ME,6230
4904,DE,6229
4905,MA,6228
4906,TX,6225
4907,MA,6224
4908,NJ,6218
4909,KY,6216
4910,FL,6215
4911,MD,6213
4912,WI,6211
4913,PA,6210
4914,IN,6208
4915,ND,6207
4916,CA,6206
4917,NH,6202
4918,NM,6201
4919,FL,6198
4920,OH,6197
4921,NJ,6196
4922,NJ,6195
4923,IL,6194
4924,NJ,6191
4925,SD,6191
4926,TX,6190
4927,MN,6189
4928,MN,6185
4929,NH,6185
4930,KY,6183
4931,IL,6182
4932,PA,6181
4933,MO,6176
4934,IL,6175
4935,NM,6174
4936,CT,6174
4937,SC,6173
4938,MD,6170
4939,MA,6161
4940,FL,6158
4941,IN,6157
4942,MD,6156
4943,TX,6154
4944,IA,6153
4945,NJ,6153
4946,NJ,6150
4947,SC,6149
4948,MI,6142
4949,MI,6140
4950,MI,6139
4951,TX,6134
4952,CT,6133
4953,PA,6132
4954,NJ,6131
4955,OH,6131
4956,IL,6128
4957,IA,6128
4958,NJ,6128
4959,CA,6126
4960,AL,6124
4961,IL,6122
4962,ME,6121
4963,MI,6119
4964,WY,6119
4965,KS,6118
4966,NY,6116
4967,MA,6110
4968,CA,6110
4969,NH,6108
4970,PA,6105
4971,AR,6105
4972,CO,6105
4973,AZ,6104
4974,NY,6103
4975,UT,6101
4976,PA,6099
4977,MI,6097
4978,OH,6087
4979,IN,6086
4980,OK,6085
4981,TN,6083
4982,ID,6082
4983,MI,6079
4984,NC,6078
4985,PA,6077
4986,CO,6072
4987,ID,6072
4988,MS,6072
4989,MI,6069
4990,IA,6064
4991,WA,6062
4992,TX,6059
4993,HI,6057
4994,ME,6055
4995,PA,6053
4996,NM,6052
4997,AR,6052
4998,PA,6048
4999,NY,6047
5000,NM,6041
5001,PA,6038
5002,TX,6035
5003,NJ,6035
5004,NY,6027
5005,HI,6027
5006,MO,6026
5007,NC,6025
5008,OH,6025
5009,MO,6021
5010,IL,6019
5011,MA,6017
5012,NJ,6016
5013,PA,6014
5014,MO,6013
5015,OH,6009
5016,NH,6005
5017,MI,6005
5018,UT,6003
5019,OH,6003
5020,CT,6000
5021,NJ,6000
5022,KY,5999
5023,NY,5998
5024,MI,5997
5025,NJ,5996
5026,OK,5992
5027,WI,5992
5028,TN,5991
5029,MO,5990
5030,OH,5989
5031,TX,5987
5032,NE,5973
5033,IL,5969
5034,HI,5963
5035,PA,5962
5036,ME,5961
5037,MD,5959
5038,PA,5959
5039,IN,5954
5040,TN,5953
5041,MT,5952
5042,IL,5951
5043,AL,5951
5044,NH,5946
5045,OH,5946
5046,IL,5945
5047,WI,5945
5048,TX,5945
5049,IA,5943
5050,NC,5943
5051,TX,5943
5052,PA,5943
5053,IL,5941
5054,NH,5939
5055,MI,5938
5056,NJ,5938
5057,PA,5936
5058,OK,5934
5059,LA,5931
5060,NY,5929
5061,NC,5927
5062,PA,5927
5063,OH,5924
5064,NC,5924
5065,TX,5923
5066,MA,5923
5067,FL,5922
5068,PA,5920
5069,IA,5920
5070,FL,5919
5071,VT,5918
5072,TX,5917
5073,UT,5917
5074,NH,5914
5075,NJ,5909
5076,IL,5908
5077,TX,5908
5078,NJ,5907
5079,ME,5906
5080,CO,5904
5081,IA,5904
5082,SC,5903
5083,IL,5902
5084,PA,5901
5085,NJ,5900
5086,NC,5900
5087,MI,5899
5088,MI,5897
5089,OH,5895
5090,NH,5894
5091,NY,5894
5092,TN,5892
5093,NJ,5888
5094,AK,5888
5095,WA,5884
5096,MI,5878
5097,MI,5877
5098,IL,5876
5099,NM,5874
5100,WV,5872
5101,NJ,5870
5102,NJ,5867
5103,TX,5865
5104,MS,5864
5105,HI,5863
5106,FL,5861
5107,TN,5860
5108,ME,5858
5109,TX,5858
5110,IL,5857
5111,KY,5851
5112,IL,5848
5113,CA,5843
5114,MI,5831
5115,MN,5829
5116,AL,5827
5117,IL,5827
5118,AR,5825
5119,KY,5819
5120,ME,5817
5121,NJ,5816
5122,NJ,5814
5123,GA,5813
5124,VA,5807
5125,CO,5802
5126,MN,5802
5127,GA,5799
5128,CA,5798
5129,OH,5796
5130,FL,5796
5131,MA,5788
5132,KS,5788
5133,IL,5786
5134,NJ,5783
5135,NY,5777
5136,PA,5769
5137,KS,5768
5138,VA,5766
5139,PA,5763
5140,KY,5753
5141,MA,5752
5142,NY,5752
5143,VA,5751
5144,IL,5751
5145,OK,5745
5146,MN,5744
5147,PA,5743
5148,MD,5742
5149,TX,5737
5150,VA,5737
5151,PA,5736
5152,KS,5735
5153,IN,5733
5154,PA,5729
5155,PA,5725
5156,NJ,5723
5157,MI,5721
5158,MI,5719
5159,MA,5717
5160,WI,5716
5161,PA,5713
5162,IL,5710
5163,AR,5707
5164,IL,5705
5165,NJ,5704
5166,WI,5703
5167,GA,5702
5168,TX,5692
5169,NC,5692
5170,FL,5689
5171,MS,5686
5172,AR,5682
5173,CA,5682
5174,VA,5679
5175,MI,5678
5176,ME,5676
5177,TX,5668
5178,KY,5666
5179,CO,5666
5180,MA,5665
5181,IL,5664
5182,GA,5658
5183,NY,5657
5184,NY,5651
5185,LA,5649
5186,GA,5644
5187,MI,5642
5188,OR,5641
5189,PA,5641
5190,NJ,5641
5191,OK,5640
5192,TX,5640
5193,MS,5640
5194,NH,5639
5195,NY,5637
5196,NC,5632
5197,IL,5632
5198,ID,5630
5199,PA,5625
5200,OR,5625
5201,MO,5621
5202,NY,5619
5203,SD,5617
5204,IL,5616
5205,MO,5611
5206,UT,5611
5207,MO,5609
5208,TX,5607
5209,CA,5605
5210,TX,5599
5211,SD,5598
5212,IA,5596
5213,MO,5593
5214,PA,5593
5215,ID,5591
5216,AR,5589
5217,TN,5584
5218,FL,5582
5219,IL,5582
5220,AK,5581
5221,AR,5581
5222,NH,5576
5223,KS,5573
5224,GA,5571
5225,NY,5571
5226,WI,5571
5227,KS,5570
5228,WI,5567
5229,NJ,5566
5230,CT,5566
5231,MI,5563
5232,MO,5562
5233,PA,5559
5234,RI,5559
5235,OH,5559
5236,MN,5558
5237,GA,5557
5238,UT,5555
5239,DE,5551
5240,IN,5550
5241,KY,5548
5242,NJ,5546
5243,MN,5544
5244,SC,5544
5245,IA,5543
5246,NH,5543
5247,WI,5542
5248,WI,5540
5249,PA,5540
5250,CA,5538
5251,MD,5534
5252,MD,5532
5253,HI,5531
5254,MA,5530
5255,TN,5529
5256,FL,5524
5257,HI,5523
5258,AK,5522
5259,UT,5522
5260,TX,5521
5261,NE,5515
5262,IA,5514
5263,PA,5514
5264,IA,5512
5265,IN,5508
5266,MA,5506
5267,WI,5506
5268,AL,5505
5269,TX,5504
5270,OH,5501
5271,NY,5501
5272,AR,5495
5273,NY,5491
5274,VT,5491
5275,OH,5489
5276,IA,5487
5277,IL,5487
5278,CT,5484
5279,TX,5483
5280,NY,5483
5281,PA,5480
5282,PA,5478
5283,PA,5475
5284,UT,5475
5285,NJ,5473
5286,TN,5473
5287,NJ,5469
5288,MI,5467
5289,NY,5464
5290,MI,5464
5291,NY,5463
5292,TX,5462
5293,TX,5462
5294,MS,5462
5295,PA,5461
5296,KY,5460
5297,MO,5457
5298,KY,5456
5299,TX,5454
5300,AR,5453
5301,IA,5450
5302,TX,5448
5303,TN,5444
5304,WA,5441
5305,IA,5439
5306,VT,5434
5307,TX,5433
5308,WV,5433
5309,OH,5432
5310,MS,5430
5311,TX,5430
5312,CA,5430
5313,NC,5428
5314,NY,5423
5315,ME,5418
5316,IA,5415
5317,FL,5413
5318,IA,5412
5319,OH,5412
5320,OH,5412
5321,MD,5408
5322,MO,5406
5323,MN,5398
5324,KS,5396
5325,MA,5395
5326,AL,5384
5327,AR,5384
5328,PA,5383
5329,LA,5379
5330,WI,5378
5331,AL,5372
5332,GA,5371
5333,IA,5369
5334,MN,5369
5335,UT,5366
5336,PA,5362
5337,TN,5357
5338,AZ,5355
5339,FL,5353
5340,IA,5353
5341,OR,5350
5342,MA,5347
5343,TX,5347
5344,PA,5343
5345,NJ,5342
5346,MA,5341
5347,CO,5339
5348,SC,5339
5349,IL,5338
5350,NJ,5338
5351,NJ,5335
5352,OH,5334
5353,MI,5331
5354,VT,5331
5355,MO,5326
5356,KY,5326
5357,OH,5325
5358,MA,5325
5359,MI,5323
5360,TX,5323
5361,AZ,5322
5362,TX,5321
5363,NH,5320
5364,NJ,5317
5365,AL,5311
5366,CA,5309
5367,MT,5308
5368,TX,5306
5369,OH,5303
5370,NJ,5302
5371,IN,5301
5372,HI,5299
5373,IL,5298
5374,CT,5297
5375,NC,5296
5376,NJ,5296
5377,MI,5292
5378,TX,5285
5379,NM,5278
5380,IN,5277
5381,WI,5277
5382,AL,5276
5383,MN,5276
5384,IN,5275
5385,CT,5272
5386,MN,5272
5387,OH,5272
5388,SC,5270
5389,SC,5269
5390,NC,5265
5391,KY,5263
5392,PA,5262
5393,VA,5261
5394,MI,5257
5395,TX,5257
5396,IN,5257
5397,OK,5256
5398,VA,5254
5399,PA,5254
5400,FL,5254
5401,MN,5252
5402,IA,5252
5403,PA,5248
5404,NC,5248
5405,SC,5247
5406,MI,5245
5407,OH,5242
5408,HI,5241
5409,NY,5239
5410,LA,5239
5411,MA,5237
5412,PA,5236
5413,FL,5235
5414,UT,5234
5415,ME,5232
5416,NH,5232
5417,AZ,5231
5418,NH,5229
5419,CA,5228
5420,IL,5227
5421,VT,5223
5422,MI,5222
5423,TX,5221
5424,CT,5214
5425,OR,5214
5426,AL,5211
5427,IN,5210
5428,NE,5206
5429,TN,5205
5430,NH,5204
5431,WV,5204
5432,OR,5204
5433,MI,5203
5434,TX,5201
5435,NH,5201
5436,IA,5199
5437,IL,5199
5438,WI,5196
5439,TN,5193
5440,OK,5193
5441,WI,5192
5442,MO,5192
5443,PA,5187
5444,TX,5187
5445,GA,5187
5446,WV,5186
5447,OR,5184
5448,OH,5182
5449,FL,5179
5450,ME,5179
5451,NJ,5177
5452,MA,5168
5453,OK,5166
5454,NY,5163
5455,PA,5163
5456,CA,5161
5457,FL,5160
5458,TX,5160
5459,OH,5160
5460,PA,5158
5461,NJ,5157
5462,ME,5154
5463,IN,5149
5464,CT,5149
5465,MT,5148
5466,WA,5146
5467,MI,5143
5468,CA,5141
5469,MI,5139
5470,IN,5133
5471,TN,5132
5472,HI,5130
5473,TX,5129
5474,IN,5129
5475,IL,5128
5476,TN,5126
5477,TX,5118
5478,WA,5114
5479,WI,5114
5480,PA,5114
5481,NY,5111
5482,KS,5111
5483,PA,5107
5484,PA,5106
5485,IA,5106
5486,AL,5106
5487,MN,5105
5488,VT,5104
5489,MN,5102
5490,FL,5100
5491,IL,5100
5492,IL,5097
5493,VA,5096
5494,OH,5096
5495,MA,5095
5496,PA,5094
5497,MA,5090
5498,ME,5089
5499,GA,5089
5500,NC,5088
5501,KS,5084
5502,NE,5083
5503,NY,5079
5504,CO,5078
5505,ME,5077
5506,IL,5077
5507,TX,5075
5508,PA,5075
5509,IL,5074
5510,IA,5073
5511,GA,5071
5512,MO,5069
5513,TX,5066
5514,IL,5066
5515,IA,5065
5516,LA,5065
5517,OK,5065
5518,NY,5062
5519,MI,5058
5520,MO,5056
5521,NY,5056
5522,IL,5054
5523,IN,5053
5524,MI,5051
5525,IL,5049
5526,FL,5047
5527,CA,5046
5528,PA,5046
5529,CT,5045
5530,IL,5045
5531,MI,5045
5532,TX,5045
5533,OH,5044
5534,ME,5044
5535,PA,5043
5536,SC,5040
5537,TN,5038
5538,ID,5038
5539,PA,5036
5540,ME,5031
5541,OK,5028
5542,TX,5028
5543,MD,5026
5544,GA,5026
5545,CA,5026
5546,MN,5025
5547,PA,5021
5548,NC,5020
5549,CA,5019
5550,GA,5016
5551,PA,5015
5552,IA,5015
5553,VT,5014
5554,NC,5008
5555,TX,5006
5556,CO,5005
5557,MA,5004
5558,TN,5004
5559,CA,5003
5560,HI,5001
5561,NC,5000
5562,MO,4999
5563,TN,4998
5564,MI,4997
5565,HI,4996
5566,HI,4994
5567,OK,4993
5568,OH,4990
5569,CA,4988
5570,MI,4987
5571,NC,4987
5572,WI,4984
5573,NJ,4982
5574,PA,4982
5575,NJ,4981
5576,NJ,4981
5577,MA,4979
5578,ME,4978
5579,NC,4977
5580,MA,4975
5581,GA,4974
5582,TX,4974
5583,AL,4973
5584,TX,4969
5585,KS,4969
5586,AL,4969
5587,MA,4966
5588,FL,4966
5589,NC,4965
5590,PA,4964
5591,MS,4961
5592,GA,4947
5593,MN,4946
5594,ME,4944
5595,MD,4943
5596,GA,4942
5597,PA,4941
5598,HI,4941
5599,AL,4941
5600,PA,4940
5601,LA,4939
5602,IA,4938
5603,TX,4936
5604,IL,4934
5605,CA,4931
5606,PA,4929
5607,GA,4929
5608,NY,4928
5609,PA,4928
5610,AK,4927
5611,NM,4926
5612,IA,4925
5613,AZ,4923
5614,CO,4923
5615,MS,4922
5616,AR,4920
5617,NH,4918
5618,WA,4917
5619,NJ,4917
5620,OK,4917
5621,NH,4915
5622,IL,4915
5623,MO,4914
5624,NJ,4912
5625,OH,4908
5626,OK,4903
5627,VA,4903
5628,MS,4901
5629,FL,4900
5630,IL,4899
5631,NY,4896
5632,NJ,4893
5633,IA,4893
5634,TX,4892
5635,AZ,4892
5636,MI,4892
5637,NC,4891
5638,TN,4891
5639,NJ,4890
5640,MN,4888
5641,NY,4887
5642,HI,4887
5643,IL,4883
5644,MO,4881
5645,VA,4880
5646,GA,4878
5647,NE,4878
5648,MN,4877
5649,PA,4877
5650,NJ,4876
5651,SC,4874
5652,GA,4874
5653,WA,4874
5654,MT,4873
5655,NH,4872
5656,NC,4866
5657,AL,4866
5658,IL,4865
5659,ME,4865
5660,HI,4864
5661,WV,4864
5662,NJ,4863
5663,MS,4862
5664,LA,4862
5665,WA,4860
5666,FL,4860
5667,TX,4858
5668,CT,4858
5669,AZ,4858
5670,CO,4858
5671,NH,4855
5672,ME,4853
5673,CA,4851
5674,MA,4849
5675,TX,4849
5676,MN,4849
5677,MD,4848
5678,OH,4848
5679,MN,4846
5680,KY,4845
5681,VT,4845
5682,IL,4845
5683,AL,4845
5684,TX,4843
5685,IN,4843
5686,KS,4841
5687,NJ,4837
5688,CO,4835
5689,NH,4834
5690,FL,4834
5691,PA,4832
5692,VT,4832
5693,IN,4831
5694,VA,4831
5695,MI,4828
5696,KS,4826
5697,NJ,4824
5698,MO,4823
5699,TX,4823
5700,HI,4823
5701,AR,4822
5702,GA,4822
5703,NH,4820
5704,MN,4819
5705,NE,4818
5706,MO,4817
5707,MA,4815
5708,LA,4813
5709,NY,4810
5710,NJ,4809
5711,OK,4809
5712,TN,4807
5713,TX,4807
5714,NH,4806
5715,WI,4806
5716,PA,4804
5717,IL,4803
5718,LA,4801
5719,OH,4799
5720,MN,4798
5721,NC,4797
5722,NY,4794
5723,MN,4793
5724,IA,4792
5725,MO,4791
5726,OH,4790
5727,TX,4790
5728,CT,4788
5729,AL,4787
5730,AL,4786
5731,ID,4785
5732,IN,4784
5733,TN,4784
5734,MO,4784
5735,WI,4784
5736,AR,4782
5737,PA,4782
5738,WI,4781
5739,CO,4781
5740,TX,4781
5741,LA,4781
5742,AR,4780
5743,HI,4778
5744,MA,4777
5745,MI,4776
5746,MN,4775
5747,PA,4775
5748,OH,4774
5749,VT,4774
5750,WY,4773
5751,PA,4772
5752,SC,4772
5753,LA,4771
5754,MI,4770
5755,TX,4767
5756,NJ,4766
5757,NC,4766
5758,MI,4765
5759,CA,4764
5760,AL,4763
5761,PA,4762
5762,OH,4761
5763,NJ,4761
5764,CA,4757
5765,KY,4756
5766,AL,4754
5767,FL,4752
5768,PA,4750
5769,MO,4750
5770,AL,4748
5771,MO,4747
5772,ME,4745
5773,NC,4742
5774,NJ,4741
5775,MO,4740
5776,TX,4739
5777,NH,4739
5778,NC,4735
5779,MA,4735
5780,GA,4732
5781,GA,4730
5782,MD,4727
5783,ME,4726
5784,WV,4722
5785,PA,4719
5786,TX,4718
5787,IL,4718
5788,KS,4717
5789,IN,4717
5790,LA,4714
5791,IL,4713
5792,TX,4711
5793,IA,4710
5794,NH,4707
5795,IL,4702
5796,NY,4700
5797,VT,4698
5798,WA,4697
5799,OH,4697
5800,IN,4696
5801,IL,4691
5802,VA,4690
5803,NC,4689
5804,WI,4687
5805,UT,4687
5806,MN,4686
5807,NC,4684
5808,KY,4683
5809,UT,4683
5810,IL,4679
5811,NE,4678
5812,IL,4674
5813,MI,4673
5814,IL,4673
5815,MO,4672
5816,TN,4671
5817,NJ,4669
5818,NY,4662
5819,MT,4659
5820,PA,4659
5821,MN,4659
5822,SC,4652
5823,MS,4652
5824,MO,4652
5825,PA,4652
5826,NJ,4651
5827,TX,4650
5828,ME,4648
5829,ME,4645
5830,IL,4641
5831,NH,4641
5832,GA,4640
5833,OR,4639
5834,MO,4637
5835,TX,4636
5836,IL,4636
5837,IL,4629
5838,MI,4627
5839,ID,4626
5840,NJ,4626
5841,NJ,4621
5842,ME,4620
5843,NC,4615
5844,CO,4613
5845,AZ,4613
5846,MN,4612
5847,OH,4612
5848,TX,4612
5849,TX,4609
5850,WI,4609
5851,MO,4608
5852,WA,4607
5853,NJ,4606
5854,NY,4605
5855,PA,4604
5856,IN,4602
5857,IN,4599
5858,NC,4595
5859,KY,4592
5860,WI,4591
5861,NC,4588
5862,NY,4587
5863,NH,4585
5864,MO,4583
5865,IL,4582
5866,VT,4579
5867,IL,4576
5868,IL,4574
5869,VA,4574
5870,PA,4573
5871,MS,4572
5872,IA,4570
5873,PA,4569
5874,ID,4568
5875,IN,4568
5876,PA,4567
5877,MS,4567
5878,NC,4567
5879,MD,4563
5880,IA,4561
5881,NJ,4560
5882,NC,4559
5883,IN,4559
5884,ID,4558
5885,OH,4557
5886,NY,4556
5887,MN,4555
5888,NY,4554
5889,PA,4553
5890,NY,4550
5891,HI,4549
5892,LA,4549
5893,TX,4544
5894,PA,4544
5895,MI,4544
5896,NC,4542
5897,MS,4542
5898,MO,4541
5899,LA,4539
5900,NH,4538
5901,NC,4537
5902,NC,4537
5903,MN,4536
5904,ME,4536
5905,OH,4529
5906,IA,4527
5907,MO,4526
5908,OH,4525
5909,ME,4525
5910,MD,4522
5911,PA,4520
5912,NH,4520
5913,ME,4520
5914,AR,4517
5915,OH,4516
5916,MI,4516
5917,IA,4512
5918,NV,4512
5919,NC,4511
5920,FL,4509
5921,PA,4507
5922,NY,4507
5923,MS,4505
5924,WI,4504
5925,GA,4503
5926,NJ,4501
5927,MI,4501
5928,MI,4500
5929,MN,4500
5930,MA,4500
5931,MO,4498
5932,KY,4492
5933,PA,4492
5934,NH,4490
5935,AR,4490
5936,VA,4486
5937,VT,4484
5938,OK,4484
5939,WI,4482
5940,NH,4482
5941,TN,4480
5942,IA,4477
5943,PA,4475
5944,OR,4475
5945,TX,4473
5946,NJ,4472
5947,TX,4470
5948,GA,4470
5949,RI,4469
5950,TX,4469
5951,MO,4467
5952,NH,4465
5953,KS,4465
5954,NC,4464
5955,GA,4464
5956,AL,4462
5957,NC,4461
5958,MI,4460
5959,NC,4460
5960,MO,4458
5961,VT,4458
5962,MO,4458
5963,PA,4458
5964,TX,4457
5965,TX,4457
5966,WV,4456
5967,OH,4456
5968,CA,4456
5969,VT,4455
5970,NJ,4454
5971,OH,4453
5972,WI,4452
5973,WA,4450
5974,IL,4450
5975,TX,4450
5976,GA,4447
5977,AL,4446
5978,TN,4446
5979,TN,4439
5980,PA,4438
5981,IN,4435
5982,OH,4435
5983,GA,4435
5984,MI,4435
5985,NC,4434
5986,MN,4434
5987,NY,4433
5988,PA,4430
5989,MO,4429
5990,AZ,4424
5991,NJ,4424
5992,OR,4423
5993,NC,4422
5994,ME,4422
5995,TX,4420
5996,WI,4420
5997,MO,4416
5998,WY,4415
5999,CT,4415
6000,NJ,4414
6001,GA,4414
6002,IL,4413
6003,TX,4409
6004,ME,4408
6005,NH,4408
6006,TX,4403
6007,CO,4402
6008,KS,4401
6009,MA,4401
6010,IL,4400
6011,TN,4400
6012,NH,4400
6013,IL,4398
6014,NJ,4396
6015,AZ,4395
6016,TX,4395
6017,NJ,4391
6018,TX,4391
6019,MD,4391
6020,OR,4387
6021,TX,4385
6022,KY,4385
6023,OK,4385
6024,GA,4384
6025,TN,4384
6026,WA,4383
6027,NC,4382
6028,TX,4381
6029,NJ,4380
6030,ME,4376
6031,NY,4373
6032,NH,4372
6033,PA,4370
6034,TX,4369
6035,AL,4368
6036,AL,4366
6037,NC,4364
6038,AL,4361
6039,TX,4361
6040,MI,4360
6041,TX,4357
6042,OR,4356
6043,UT,4354
6044,LA,4352
6045,NJ,4352
6046,PA,4352
6047,OK,4351
6048,WI,4349
6049,SC,4347
6050,WI,4347
6051,OH,4347
6052,MO,4346
6053,IL,4343
6054,AK,4342
6055,OH,4339
6056,IA,4337
6057,SC,4335
6058,TX,4335
6059,TX,4333
6060,WI,4333
6061,MI,4328
6062,MA,4328
6063,AZ,4326
6064,WA,4326
6065,MN,4325
6066,TX,4324
6067,PA,4320
6068,KY,4319
6069,MD,4316
6070,MO,4313
6071,KY,4312
6072,OR,4310
6073,WI,4309
6074,TX,4304
6075,IL,4303
6076,AR,4301
6077,MI,4300
6078,NY,4300
6079,KY,4299
6080,TN,4297
6081,FL,4295
6082,MI,4295
6083,MD,4295
6084,GA,4291
6085,WI,4291
6086,NY,4289
6087,AR,4288
6088,MO,4287
6089,MI,4286
6090,PA,4286
6091,AL,4285
6092,IA,4285
6093,IL,4283
6094,PA,4283
6095,NJ,4282
6096,AR,4279
6097,NE,4279
6098,TX,4277
6099,PA,4277
6100,AR,4276
6101,FL,4273
6102,MS,4272
6103,PA,4270
6104,GA,4268
6105,MO,4266
6106,CT,4266
6107,ME,4264
6108,PA,4264
6109,NJ,4264
6110,IN,4264
6111,NJ,4264
6112,IL,4263
6113,AR,4261
6114,PA,4258
6115,NJ,4258
6116,WI,4258
6117,OH,4257
6118,TX,4257
6119,ND,4257
6120,KS,4255
6121,OK,4255
6122,PA,4255
6123,AK,4254
6124,PA,4253
6125,PA,4251
6126,OK,4248
6127,CO,4247
6128,AL,4245
6129,PA,4245
6130,PA,4244
6131,IA,4244
6132,MI,4244
6133,PA,4243
6134,FL,4241
6135,TN,4240
6136,PA,4239
6137,PA,4239
6138,GA,4239
6139,GA,4235
6140,OR,4234
6141,PA,4234
6142,IL,4232
6143,NH,4230
6144,TX,4229
6145,ME,4229
6146,TX,4229
6147,OK,4228
6148,NY,4225
6149,PA,4225
6150,NC,4225
6151,NY,4225
6152,OH,4224
6153,WA,4222
6154,MO,4220
6155,MN,4220
6156,CT,4217
6157,HI,4215
6158,MN,4215
6159,MN,4213
6160,CT,4213
6161,SC,4212
6162,TX,4211
6163,TX,4206
6164,IL,4206
6165,KS,4199
6166,NC,4198
6167,MI,4196
6168,MO,4195
6169,PA,4195
6170,CT,4195
6171,CT,4194
6172,IA,4193
6173,CT,4191
6174,OH,4191
6175,AL,4190
6176,OH,4188
6177,TX,4186
6178,KS,4185
6179,NC,4185
6180,TX,4184
6181,NJ,4184
6182,NJ,4183
6183,IA,4182
6184,LA,4179
6185,NC,4175
6186,NC,4175
6187,IN,4173
6188,NY,4173
6189,ME,4173
6190,MI,4172
6191,TX,4171
6192,TX,4171
6193,NC,4171
6194,VA,4170
6195,KS,4170
6196,ND,4170
6197,IN,4168
6198,NY,4167
6199,VT,4167
6200,PA,4166
6201,OH,4165
6202,MN,4164
6203,IL,4164
6204,OK,4163
6205,PA,4162
6206,IA,4160
6207,MN,4159
6208,PA,4159
6209,MN,4158
6210,LA,4155
6211,SC,4155
6212,AR,4153
6213,LA,4153
6214,PA,4152
6215,IL,4150
6216,NH,4150
6217,MI,4142
6218,MI,4142
6219,MN,4142
6220,PA,4141
6221,MI,4140
6222,NJ,4139
6223,WA,4138
6224,OH,4137
6225,MI,4136
6226,OH,4135
6227,NE,4133
6228,VT,4129
6229,IL,4128
6230,NC,4122
6231,MI,4120
6232,IL,4114
6233,NY,4114
6234,ME,4114
6235,WI,4114
6236,KS,4113
6237,MN,4112
6238,MO,4111
6239,NY,4107
6240,NJ,4107
6241,LA,4106
6242,PA,4106
6243,WI,4104
6244,IL,4095
6245,TX,4094
6246,MI,4093
6247,IL,4091
6248,GA,4088
6249,MI,4088
6250,IL,4085
6251,MD,4085
