,City,Population
297,El Cajon,106215
298,Tyler,105995
299,Davie,105691
300,San Mateo,105661
301,Brockton,105643
302,Concord,105240
303,Jurupa Valley,105053
304,Daly City,104901
305,Allen,104627
306,Rio Rancho,104046
307,Rialto,104026
308,Woodbridge,103639
309,South Bend,103453
310,Spokane Valley,102976
311,Norwalk,102773
312,Menifee,102527
313,Vacaville,102386
314,Wichita Falls,102316
315,Davenport,101724
316,Quincy,101636
317,Chico,101475
318,Lynn,101253
319,Lees Summit,101108
320,New Bedford,101079
321,Federal Way,101030
322,Clinton,100513
323,Edinburg,100243
324,Nampa,100200
325,Roanoke,100011
326,Kenosha,99986
327,San Angelo,99893
328,Hesperia,99818
329,Carmel,99757
330,Tuscaloosa,99600
331,Albany,99224
332,Bend,99178
333,Fishers,98977
334,Longmont,98885
335,Canton,98659
336,Vista,98381
337,Orem,98129
338,Portsmouth,97915
339,Beaverton,97494
340,Boca Raton,97422
341,Sunrise,97335
342,Yakima,96968
343,Sandy,96904
344,Compton,95740
345,Carson,95558
346,Yuma,95548
347,Livonia,95535
348,Toms River,95438
349,St George,95342
350,Goodyear,95294
351,Reading,95112
352,Lawrence,94934
353,San Marcos,94833
354,Erie,94831
355,Asheville,94589
356,Edmond,94428
357,Suffolk,94324
358,Fall River,94000
359,Fayetteville,93949
360,Deltona,93692
361,Mission Viejo,93653
362,Redding,93611
363,Santa Monica,93076
364,Tracy,93000
365,Roswell,92833
366,South Gate,92726
367,Hoover,92606
368,Hamilton,92297
369,Kirkland,92175
370,Plantation,91750
371,Buckeye,91502
372,Bellingham,91482
373,Chino,91403
374,Nashua,91322
375,OFallon,91316
376,Norwalk,91184
377,San Leandro,91008
378,Westminster,90911
379,Trenton,90871
380,Mount Pleasant,90801
381,New Braunfels,90403
382,Lawton,90381
383,Clifton,90296
384,Bloomington,89987
385,Conroe,89956
386,Hemet,89833
387,Avondale,89334
388,Waukegan,89321
389,Palm Coast,89258
390,Lawrence,89143
391,Fort Smith,89142
392,Indio,89137
393,Newton,88923
394,Santa Barbara,88665
395,Champaign,88302
396,Hawthorne,88083
397,Livermore,87955
398,Citrus Heights,87583
399,Greenville,87521
400,Santa Fe,87505
401,Ogden,87321
402,Whittier,87306
403,Troy,87294
404,Auburn,87256
405,Deerfield Beach,86859
406,Duluth,86697
407,Danbury,86518
408,Brooklyn Park,86478
409,Fort Myers,86395
410,Merced,86333
411,Lake Forest,85858
412,Medford,85824
413,Sioux City,85797
414,Mission,85778
